order_start_hour,order_start,art_test,pathology,vaccination,duration,price,order_end,long,lat,district
9,2023-02-12 09:00:00,0,1,1,1.5,300,2023-02-12 10:30:00,74.76154236924611,23.473565324056043,Ratlam
11,2023-02-12 11:00:00,1,0,0,0.4,50,2023-02-12 11:24:00,75.20617332271726,23.236405788514716,Ratlam
8,2023-02-12 08:00:00,1,0,0,0.4,50,2023-02-12 08:24:00,75.52117418327606,23.78159004358675,Ratlam
13,2023-02-12 13:00:00,1,1,1,1.9,350,2023-02-12 14:54:00,74.7076562992056,23.309841764167505,Ratlam
8,2023-02-12 08:00:00,1,1,1,1.9,350,2023-02-12 09:54:00,75.21434337666783,23.687550388676396,Ratlam
9,2023-02-12 09:00:00,1,1,1,1.9,350,2023-02-12 10:54:00,75.10847852317696,23.636843669088833,Ratlam
13,2023-02-12 13:00:00,1,1,1,1.9,350,2023-02-12 14:54:00,74.91967876739368,23.522207738155267,Ratlam
11,2023-02-12 11:00:00,1,1,1,1.9,350,2023-02-12 12:54:00,74.57345848865326,23.39715340395792,Ratlam
6,2023-02-12 06:00:00,1,1,1,1.9,350,2023-02-12 07:54:00,74.99748126784229,23.77503889429352,Ratlam
8,2023-02-12 08:00:00,0,0,1,0.5,100,2023-02-12 08:30:00,74.88230014400115,23.395798912206356,Ratlam
6,2023-02-12 06:00:00,1,1,0,1.4,250,2023-02-12 07:24:00,75.04470738737513,23.43658411831608,Ratlam
13,2023-02-12 13:00:00,1,1,1,1.9,350,2023-02-12 14:54:00,75.2895065837364,23.64279575190743,Ratlam
6,2023-02-12 06:00:00,1,0,0,0.4,50,2023-02-12 06:24:00,75.02499992902763,23.753982979384027,Ratlam
9,2023-02-12 09:00:00,1,1,1,1.9,350,2023-02-12 10:54:00,74.92852016722088,23.214672049547154,Ratlam
10,2023-02-12 10:00:00,1,1,1,1.9,350,2023-02-12 11:54:00,75.67366067637101,23.745921424398723,Ratlam
13,2023-02-12 13:00:00,1,1,1,1.9,350,2023-02-12 14:54:00,75.0447403485608,23.3149082612707,Ratlam
11,2023-02-12 11:00:00,1,0,0,0.4,50,2023-02-12 11:24:00,74.79427629942342,23.297905515775334,Ratlam
14,2023-02-12 14:00:00,1,1,0,1.4,250,2023-02-12 15:24:00,74.90879884563772,23.485915410374087,Ratlam
14,2023-02-12 14:00:00,1,1,1,1.9,350,2023-02-12 15:54:00,75.30779418535096,23.745845244320403,Ratlam
14,2023-02-12 14:00:00,1,1,0,1.4,250,2023-02-12 15:24:00,75.06314954504394,23.50042547672006,Ratlam
12,2023-02-12 12:00:00,1,0,1,0.9,150,2023-02-12 12:54:00,74.55840398976068,23.322927120895283,Ratlam
12,2023-02-12 12:00:00,0,1,0,1.0,200,2023-02-12 13:00:00,75.11031377648251,23.338279198055627,Ratlam
14,2023-02-12 14:00:00,0,0,1,0.5,100,2023-02-12 14:30:00,74.86723626165812,23.318895114705196,Ratlam
11,2023-02-12 11:00:00,0,1,0,1.0,200,2023-02-12 12:00:00,75.0312765294157,23.457344808180626,Ratlam
7,2023-02-12 07:00:00,1,1,1,1.9,350,2023-02-12 08:54:00,75.11364757880362,23.120129232679076,Ratlam
7,2023-02-12 07:00:00,1,0,0,0.4,50,2023-02-12 07:24:00,75.2199982379481,23.191131740667846,Ratlam
6,2023-02-12 06:00:00,1,1,1,1.9,350,2023-02-12 07:54:00,75.12298549225876,23.839476582597,Ratlam
10,2023-02-12 10:00:00,1,1,1,1.9,350,2023-02-12 11:54:00,75.5549487252499,23.804018941894157,Ratlam
10,2023-02-12 10:00:00,1,1,0,1.4,250,2023-02-12 11:24:00,74.60325790547175,23.33192100550572,Ratlam
6,2023-02-12 06:00:00,1,0,1,0.9,150,2023-02-12 06:54:00,75.3799887950661,23.68304023932054,Ratlam
9,2023-02-12 09:00:00,0,1,1,1.5,300,2023-02-12 10:30:00,74.8627376035624,23.34449634355101,Ratlam
12,2023-02-12 12:00:00,1,1,1,1.9,350,2023-02-12 13:54:00,75.00266937313324,23.286061301251724,Ratlam
10,2023-02-12 10:00:00,1,1,1,1.9,350,2023-02-12 11:54:00,75.21685575745539,23.736034295430485,Ratlam
9,2023-02-12 09:00:00,0,1,1,1.5,300,2023-02-12 10:30:00,75.19056778001219,23.28442543988355,Ratlam
7,2023-02-12 07:00:00,1,0,1,0.9,150,2023-02-12 07:54:00,74.68848434843983,23.452380902629933,Ratlam
